	CountyCode	lowincome	growth	vision	highincome	senior
548	16009	1	0	1	2	3
549	16011	0	0	4	4	0
550	16013	0	0	3	4	0
551	16015	0	0	2	3	0
552	16017	1	2	2	4	5
553	16019	0	2	4	3	0
554	16021	0	0	2	2	0
555	16023	0	0	0	0	1
556	16025	0	0	1	1	0
557	16027	0	2	4	4	0
558	16029	0	0	1	1	0
559	16031	0	0	4	3	2
560	16035	1	0	0	3	2
561	16037	0	0	0	0	1
562	16039	0	1	4	2	0
563	16041	0	0	0	3	0
564	16043	0	0	3	1	0
565	16045	0	2	3	4	0
566	16047	0	0	3	2	0
567	16049	1	0	0	2	2
568	16051	0	0	3	1	0
569	16053	0	0	3	3	0
570	16055	1	3	3	4	2
571	16057	0	0	0	3	2
572	16059	0	0	0	2	0
573	16061	0	0	0	1	2
574	16063	0	1	3	2	0
575	16065	0	1	4	2	0
576	16067	0	0	4	2	1
577	16069	0	2	0	4	2
578	16071	0	0	2	1	1
579	16073	0	0	3	5	0
580	16075	0	0	4	2	0
581	16077	0	0	3	2	1
582	16079	1	0	0	2	1
583	16081	0	0	2	0	0
584	16083	0	2	4	3	0
585	16085	0	0	2	2	0
586	16087	0	0	2	1	0
587	17001	0	2	1	4	1
588	17003	0	1	0	2	0
589	17005	0	1	0	2	0
590	17007	0	0	0	6	1
591	17009	0	0	1	2	0
592	17011	0	1	0	4	0
593	17013	0	0	0	2	0
594	17015	0	0	2	4	0
595	17017	0	0	0	2	1
596	17019	0	2	1	8	5
597	17021	0	0	1	1	2
598	17023	0	0	1	3	2
599	17025	0	0	1	4	0
600	17027	0	1	0	4	0
601	17029	0	0	0	3	2
602	17031	1	15	2	12	2
603	17033	0	0	1	3	2
604	17035	0	0	0	1	2
605	17037	0	1	2	6	1
606	17039	0	0	0	3	4
607	17041	0	1	1	3	3
608	17043	1	7	2	7	1
609	17045	0	0	4	3	2
610	17047	0	1	1	2	0
611	17049	0	0	2	2	3
612	17051	0	0	1	4	2
613	17053	0	0	0	3	4
614	17055	0	1	1	4	1
615	17057	0	0	1	5	2
616	17059	0	0	1	3	0
617	17061	0	0	0	2	1
618	17063	0	1	1	6	3
619	17065	0	0	1	4	0
620	17067	0	0	1	3	2
621	17069	0	0	0	1	0
622	17071	0	1	0	2	3
623	17073	0	1	1	5	2
624	17075	0	2	1	7	5
625	17077	0	2	2	4	1
626	17079	0	0	0	3	2
627	17081	0	1	2	5	0
628	17083	0	0	0	4	1
629	17085	0	1	2	5	1
630	17087	0	0	0	3	2
631	17089	0	5	3	6	2
632	17091	0	3	0	8	3
633	17093	0	3	3	5	1
634	17095	0	0	1	5	1
635	17097	1	6	0	6	0
636	17099	0	3	1	7	3
637	17101	0	0	1	2	1
638	17103	0	0	0	5	0
639	17105	0	1	0	5	5
640	17107	0	1	0	4	4
641	17109	0	1	1	3	3
642	17111	0	4	1	7	1
643	17113	0	2	2	5	6
644	17115	0	1	0	5	3
645	17117	0	0	0	5	2
646	17119	1	3	0	6	1
647	17121	0	0	1	5	1
648	17123	0	1	0	3	1
649	17125	0	0	0	3	5
650	17127	0	0	0	4	2
