,FIPS,MHI_2018,giniIndex
670,17149,42664,0.4355
671,17151,40671,0.3977
672,17153,33799,0.4624
673,17155,65034,0.4115
674,17157,52107,0.43
675,17159,48724,0.4361
676,17161,52630,0.4353
677,17163,53681,0.4706
678,17165,41167,0.4732
679,17167,60466,0.4627
680,17169,46151,0.3868
681,17171,53973,0.4337
682,17173,51157,0.3856
683,17175,52260,0.4734
684,17177,48016,0.4446
685,17179,62342,0.4247
686,17181,49182,0.4472
687,17183,45384,0.4467
688,17185,51432,0.4286
689,17187,49607,0.4346
690,17189,59469,0.422
691,17191,49764,0.4151
692,17193,47773,0.4198
693,17195,53828,0.4306
694,17197,83504,0.4111
695,17199,49053,0.4456
696,17201,52743,0.4501
697,17203,71867,0.422
698,18001,51713,0.4149
699,18003,53402,0.4521
700,18005,59045,0.4319
701,18007,46188,0.3892
702,18009,42217,0.439
703,18011,80567,0.4771
704,18013,61455,0.4596
705,18015,56429,0.4056
706,18017,47545,0.4185
707,18019,54240,0.4191
708,18021,53021,0.3865
709,18023,52488,0.3888
710,18025,43875,0.4118
711,18027,51032,0.4137
712,18029,65096,0.4104
713,18031,54622,0.4022
714,18033,53808,0.4132
715,18035,42705,0.4746
716,18037,58994,0.4216
717,18039,55399,0.4183
718,18041,43317,0.4309
719,18043,61754,0.4452
720,18045,49887,0.4429
721,18047,58382,0.4089
722,18049,49333,0.4182
723,18051,52620,0.4148
724,18053,42593,0.414
725,18055,49177,0.3986
726,18057,94644,0.4378
727,18059,73142,0.3752
728,18061,57132,0.4131
729,18063,78355,0.3853
730,18065,48235,0.4234
731,18067,50869,0.4345
732,18069,52208,0.3827
733,18071,49506,0.4203
734,18073,59574,0.3775
735,18075,44772,0.4218
736,18077,51119,0.4321
737,18079,49801,0.3877
738,18081,68712,0.4135
739,18083,46457,0.4347
740,18085,58402,0.4112
741,18087,60675,0.4023
742,18089,54249,0.4473
743,18091,51101,0.4395
744,18093,52092,0.4067
745,18095,47436,0.4313
746,18097,46692,0.4804
747,18099,54229,0.4281
748,18101,51224,0.4123
749,18103,47460,0.4072
750,18105,47075,0.4998
751,18107,53610,0.3897
752,18109,62462,0.3873
753,18111,53146,0.3766
754,18113,55033,0.4026
755,18115,61148,0.3683
756,18117,45341,0.4297
757,18119,48667,0.3936
758,18121,48788,0.4321
759,18123,51064,0.4086
760,18125,52527,0.3817
761,18127,68044,0.4274
762,18129,62583,0.4065
